date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
21:34:23	59477/59477	---M--	200	added ('OK')	text/html	etag:%226236d1ea-e855%22	https://htmlstream.com/space/landing-services-wallet.html	C:/My%20Web%20Sites/main%20Landing/htmlstream.com/space/landing-services-wallet.html	(from )
21:34:24	24/24	---M--	200	added ('OK')	text/plain	etag:%2258ae5ff2-18%22	https://htmlstream.com/robots.txt		(from )
21:34:25	15086/15086	---M--	200	added ('OK')	image/x-icon	etag:%226236d1ea-3aee%22	https://htmlstream.com/space/favicon.ico	C:/My%20Web%20Sites/main%20Landing/htmlstream.com/space/favicon.ico	(from https://htmlstream.com/space/landing-services-wallet.html)
21:34:27	88784/88784	---M--	200	added ('OK')	text/css	etag:%226236d1ea-15ad0%22	https://htmlstream.com/space/assets/css/vendor.min.css	C:/My%20Web%20Sites/main%20Landing/htmlstream.com/space/assets/css/vendor.min.css	(from https://htmlstream.com/space/landing-services-wallet.html)
21:34:30	5548/5548	---M--	200	added ('OK')	image/svg+xml	etag:%226236d1ea-15ac%22	https://htmlstream.com/space/assets/svg/logos/logo.svg	C:/My%20Web%20Sites/main%20Landing/htmlstream.com/space/assets/svg/logos/logo.svg	(from https://htmlstream.com/space/landing-services-wallet.html)
21:34:30	93992/93992	---M--	200	added ('OK')	text/html	etag:%226236d1ea-16f28%22	https://htmlstream.com/space/index.html	C:/My%20Web%20Sites/main%20Landing/htmlstream.com/space/index.html	(from https://htmlstream.com/space/landing-services-wallet.html)
21:34:31	414389/414389	---M--	200	added ('OK')	text/css	etag:%226236d1ea-652b5%22	https://htmlstream.com/space/assets/css/theme.min.css?v=1.0	C:/My%20Web%20Sites/main%20Landing/htmlstream.com/space/assets/css/theme.minc619.css	(from https://htmlstream.com/space/landing-services-wallet.html)
21:34:31	62115/62115	---M--	200	added ('OK')	text/html	etag:%226236d1ea-f2a3%22	https://htmlstream.com/space/landing-agency.html	C:/My%20Web%20Sites/main%20Landing/htmlstream.com/space/landing-agency.html	(from https://htmlstream.com/space/landing-services-wallet.html)
21:34:32	63198/63198	---M--	200	added ('OK')	text/html	etag:%226236d1ea-f6de%22	https://htmlstream.com/space/landing-consulting.html	C:/My%20Web%20Sites/main%20Landing/htmlstream.com/space/landing-consulting.html	(from https://htmlstream.com/space/landing-services-wallet.html)
21:34:33	87121/87121	---M--	200	added ('OK')	text/html	etag:%226236d1ea-15451%22	https://htmlstream.com/space/landing-services.html	C:/My%20Web%20Sites/main%20Landing/htmlstream.com/space/landing-services.html	(from https://htmlstream.com/space/landing-services-wallet.html)
21:34:33	72048/72048	---M--	200	added ('OK')	text/html	etag:%226236d1ea-11970%22	https://htmlstream.com/space/landing-business.html	C:/My%20Web%20Sites/main%20Landing/htmlstream.com/space/landing-business.html	(from https://htmlstream.com/space/landing-services-wallet.html)
21:34:33	66552/66552	---M--	200	added ('OK')	text/html	etag:%226236d1ea-103f8%22	https://htmlstream.com/space/landing-services-growth.html	C:/My%20Web%20Sites/main%20Landing/htmlstream.com/space/landing-services-growth.html	(from https://htmlstream.com/space/landing-services-wallet.html)
21:34:35	71528/71528	---M--	200	added ('OK')	text/html	etag:%226236d1ea-11768%22	https://htmlstream.com/space/landing-services-saas.html	C:/My%20Web%20Sites/main%20Landing/htmlstream.com/space/landing-services-saas.html	(from https://htmlstream.com/space/landing-services-wallet.html)
21:34:35	104369/104369	---M--	200	added ('OK')	text/html	etag:%226236d1ea-197b1%22	https://htmlstream.com/space/landing-services-api.html	C:/My%20Web%20Sites/main%20Landing/htmlstream.com/space/landing-services-api.html	(from https://htmlstream.com/space/landing-services-wallet.html)
21:34:35	51871/51871	---M--	200	added ('OK')	text/html	etag:%226236d1ea-ca9f%22	https://htmlstream.com/space/page-about.html	C:/My%20Web%20Sites/main%20Landing/htmlstream.com/space/page-about.html	(from https://htmlstream.com/space/landing-services-wallet.html)
21:34:36	54378/54378	---M--	200	added ('OK')	text/html	etag:%226236d1ea-d46a%22	https://htmlstream.com/space/page-services.html	C:/My%20Web%20Sites/main%20Landing/htmlstream.com/space/page-services.html	(from https://htmlstream.com/space/landing-services-wallet.html)
21:34:36	57210/57210	---M--	200	added ('OK')	text/html	etag:%226236d1ea-df7a%22	https://htmlstream.com/space/page-customer-stories.html	C:/My%20Web%20Sites/main%20Landing/htmlstream.com/space/page-customer-stories.html	(from https://htmlstream.com/space/landing-services-wallet.html)
21:34:37	48292/48292	---M--	200	added ('OK')	text/html	etag:%226236d1ea-bca4%22	https://htmlstream.com/space/page-customer-story.html	C:/My%20Web%20Sites/main%20Landing/htmlstream.com/space/page-customer-story.html	(from https://htmlstream.com/space/landing-services-wallet.html)
21:34:37	52451/52451	---M--	200	added ('OK')	text/html	etag:%226236d1ea-cce3%22	https://htmlstream.com/space/page-help-center.html	C:/My%20Web%20Sites/main%20Landing/htmlstream.com/space/page-help-center.html	(from https://htmlstream.com/space/landing-services-wallet.html)
21:34:38	50915/50915	---M--	200	added ('OK')	text/html	etag:%226236d1ea-c6e3%22	https://htmlstream.com/space/page-help-center-categories.html	C:/My%20Web%20Sites/main%20Landing/htmlstream.com/space/page-help-center-categories.html	(from https://htmlstream.com/space/landing-services-wallet.html)
21:34:38	50974/50974	---M--	200	added ('OK')	text/html	etag:%226236d1ea-c71e%22	https://htmlstream.com/space/page-help-center-article.html	C:/My%20Web%20Sites/main%20Landing/htmlstream.com/space/page-help-center-article.html	(from https://htmlstream.com/space/landing-services-wallet.html)
21:34:39	70156/70156	---M--	200	added ('OK')	text/html	etag:%226236d1ea-1120c%22	https://htmlstream.com/space/page-careers.html	C:/My%20Web%20Sites/main%20Landing/htmlstream.com/space/page-careers.html	(from https://htmlstream.com/space/landing-services-wallet.html)
21:34:39	53168/53168	---M--	200	added ('OK')	text/html	etag:%226236d1ea-cfb0%22	https://htmlstream.com/space/page-careers-overview.html	C:/My%20Web%20Sites/main%20Landing/htmlstream.com/space/page-careers-overview.html	(from https://htmlstream.com/space/landing-services-wallet.html)
21:34:40	46728/46728	---M--	200	added ('OK')	text/html	etag:%226236d1ea-b688%22	https://htmlstream.com/space/page-hire-us.html	C:/My%20Web%20Sites/main%20Landing/htmlstream.com/space/page-hire-us.html	(from https://htmlstream.com/space/landing-services-wallet.html)
21:34:40	54223/54223	---M--	200	added ('OK')	text/html	etag:%226236d1ea-d3cf%22	https://htmlstream.com/space/page-contacts.html	C:/My%20Web%20Sites/main%20Landing/htmlstream.com/space/page-contacts.html	(from https://htmlstream.com/space/landing-services-wallet.html)
21:34:41	42609/42609	---M--	200	added ('OK')	text/html	etag:%226236d1ea-a671%22	https://htmlstream.com/space/page-login.html	C:/My%20Web%20Sites/main%20Landing/htmlstream.com/space/page-login.html	(from https://htmlstream.com/space/landing-services-wallet.html)
21:34:41	45785/45785	---M--	200	added ('OK')	text/html	etag:%226236d1ea-b2d9%22	https://htmlstream.com/space/page-signup.html	C:/My%20Web%20Sites/main%20Landing/htmlstream.com/space/page-signup.html	(from https://htmlstream.com/space/landing-services-wallet.html)
21:34:41	40413/40413	---M--	200	added ('OK')	text/html	etag:%226236d1ea-9ddd%22	https://htmlstream.com/space/page-reset-password.html	C:/My%20Web%20Sites/main%20Landing/htmlstream.com/space/page-reset-password.html	(from https://htmlstream.com/space/landing-services-wallet.html)
21:34:42	62137/62137	---M--	200	added ('OK')	text/html	etag:%226236d1ea-f2b9%22	https://htmlstream.com/space/portfolio-modern.html	C:/My%20Web%20Sites/main%20Landing/htmlstream.com/space/portfolio-modern.html	(from https://htmlstream.com/space/landing-services-wallet.html)
